date,ISE,ISE,SP,DAX,FTSE,NIKKEI,BOVESPA,EU,EM
5-Jan-09,0.035753708,0.038376187,-0.004679315,0.002193419,0.003894376,0,0.031190229,0.012698039,0.028524462
6-Jan-09,0.025425873,0.031812743,0.007786738,0.008455341,0.012865611,0.004162452,0.01891958,0.011340652,0.008772644
7-Jan-09,-0.02886173,-0.026352966,-0.030469134,-0.017833062,-0.028734593,0.017292932,-0.035898576,-0.017072795,-0.020015412
8-Jan-09,-0.062208079,-0.084715902,0.003391364,-0.011726277,-0.000465999,-0.040061309,0.028283152,-0.005560959,-0.019423778
9-Jan-09,0.009859905,0.009658112,-0.021533208,-0.019872754,-0.012709717,-0.004473502,-0.00976388,-0.010988634,-0.007802212
12-Jan-09,-0.029191028,-0.042361155,-0.022822626,-0.013525735,-0.005025533,-0.049038532,-0.053849474,-0.012451259,-0.022629745
13-Jan-09,0.015445348,-0.000272183,0.001756552,-0.017673622,-0.006141454,0,0.00357202,-0.012220196,-0.004827138
14-Jan-09,-0.041167612,-0.03555248,-0.034032484,-0.047383437,-0.050945198,0.002912354,-0.040301613,-0.045220199,-0.008676646
15-Jan-09,0.000661905,-0.017267844,0.001328305,-0.019550621,-0.014334659,-0.050447588,0.030313602,-0.012070424,-0.023428729
16-Jan-09,0.022037345,0.032278032,0.007533126,0.00679078,0.006289177,0.025453186,0.004866686,0.008560858,0.010916893
19-Jan-09,-0.022692465,-0.044348781,-0.054261984,-0.011549904,-0.009351296,0.003238918,-0.013151015,-0.012045182,-0.004029004
20-Jan-09,-0.013708704,-0.029661366,0,-0.017833593,-0.004170789,-0.023411498,-0.040899261,-0.015088013,-0.024107193
21-Jan-09,0.000864697,0.00152943,0.042572033,0.005011186,-0.007728867,-0.020561328,0.033532127,-0.003338563,-0.005092242
22-Jan-09,-0.00381506,0.005043164,-0.015278458,-0.009841399,-0.001898399,0.018817884,-0.016981713,-0.00655222,-0.003227249
23-Jan-09,0.00566126,-0.010007954,0.005363236,-0.009640052,7.40E-05,-0.038808465,0.006261036,-0.003620056,-0.008077319
26-Jan-09,0.046831302,0.061708176,0.005537856,0.034786791,0.037891115,-0.008181598,0.009838156,0.032799581,0.010319685
27-Jan-09,-0.006634978,0.01094866,0.010866312,-0.000797661,-0.003474788,0.048148148,0.00492178,-0.002641806,0.006344498
28-Jan-09,0.034566982,0.03587086,0.033006834,0.044182012,0.023747818,0.005594001,0.038724652,0.0299742,0.022104103
29-Jan-09,-0.020528213,-0.020271848,-0.033681051,-0.020255911,-0.02477352,0.017723189,-0.014750158,-0.023108586,0.000408697
30-Jan-09,-0.008776701,-0.023458255,-0.02305281,-0.020478765,-0.009712656,-0.031665977,-0.00853829,-0.007201303,0.002242539
2-Feb-09,-0.025919141,-0.035607494,-0.000532907,-0.015636734,-0.017454317,-0.015133862,-0.016289303,-0.019739294,-0.019091385
3-Feb-09,0.015279487,0.022402818,0.01570993,0.02404002,0.021038593,-0.006174742,0.027573706,0.017862274,0.012718686
4-Feb-09,0.018577796,0.023230767,-0.007517662,0.026576513,0.015274749,0.026908324,0.009564898,0.018769962,0.015165589
5-Feb-09,-0.014132879,-0.014571381,0.016233194,0.003931905,7.09E-05,-0.011169331,0.024127811,-0.004139094,0.002072505
6-Feb-09,0.036607044,0.042758926,0.026540681,0.029305918,0.014787613,0.015845566,0.039282461,0.019126668,0.032338114
9-Feb-09,0.011353209,0.021467637,0.001484047,0.004766184,0.003651379,-0.013410689,-0.015461796,0.005627159,0.007895394
10-Feb-09,-0.040542021,-0.043906874,-0.05036862,-0.035170147,-0.022182186,-0.002901673,-0.021439596,-0.024387753,-0.002139095
11-Feb-09,-0.022105644,-0.033893469,0.007923456,0.005434056,0.005019306,-0.030744916,-0.008799248,0.001097418,-0.007925997
12-Feb-09,-0.014888368,-0.020825038,0.001737641,-0.027420558,-0.007609828,0,-0.008482232,-0.014092175,-0.014772748
13-Feb-09,0.007026745,0.009709195,-0.010048038,0.001321853,-0.003002934,0.009563024,0.028550768,0.003031933,0.017764444
16-Feb-09,-0.011494996,-0.024629091,-0.046629446,-0.045613986,-0.013166304,-0.003764436,0.003999287,-0.012721713,-0.006850441
17-Feb-09,-0.041136038,-0.050687495,0,0,-0.024655731,-0.013596231,-0.0488296,-0.030934994,-0.038322771
18-Feb-09,-0.002631499,-0.012101138,-0.000950817,-0.002764335,-0.006790311,-0.014634038,-0.004351059,-0.003303102,-0.003342261
19-Feb-09,0.024654643,0.032923209,-0.012096922,0.002434631,0.002890896,0.003075786,0.001410509,0.00256948,0.006764498
