"date","ts","count","tmin","tmax","pn"
2010-09-20,2010-09-20 12:00:00,11,12.8,25.6,0
2010-09-20,2010-09-20 13:00:00,13,12.8,25.6,0
2010-09-20,2010-09-20 14:00:00,8,12.8,25.6,0
2010-09-20,2010-09-20 15:00:00,8,12.8,25.6,0
2010-09-20,2010-09-20 16:00:00,12,12.8,25.6,0
2010-09-20,2010-09-20 17:00:00,17,12.8,25.6,0
2010-09-20,2010-09-20 18:00:00,37,12.8,25.6,0
2010-09-20,2010-09-20 19:00:00,36,12.8,25.6,0
2010-09-20,2010-09-20 20:00:00,33,12.8,25.6,0
2010-09-20,2010-09-20 21:00:00,17,12.8,25.6,0
2010-09-20,2010-09-20 22:00:00,14,12.8,25.6,0
2010-09-20,2010-09-20 23:00:00,3,12.8,25.6,0
2010-09-21,2010-09-21 00:00:00,5,8.3,25,0
2010-09-21,2010-09-21 01:00:00,0,8.3,25,0
2010-09-21,2010-09-21 02:00:00,0,8.3,25,0
2010-09-21,2010-09-21 03:00:00,0,8.3,25,0
2010-09-21,2010-09-21 04:00:00,0,8.3,25,0
2010-09-21,2010-09-21 05:00:00,0,8.3,25,0
2010-09-21,2010-09-21 06:00:00,0,8.3,25,0
2010-09-21,2010-09-21 07:00:00,7,8.3,25,0
2010-09-21,2010-09-21 08:00:00,12,8.3,25,0
2010-09-21,2010-09-21 09:00:00,27,8.3,25,0
2010-09-21,2010-09-21 10:00:00,11,8.3,25,0
2010-09-21,2010-09-21 11:00:00,15,8.3,25,0
2010-09-21,2010-09-21 12:00:00,18,8.3,25,0
2010-09-21,2010-09-21 13:00:00,23,8.3,25,0
2010-09-21,2010-09-21 14:00:00,21,8.3,25,0
2010-09-21,2010-09-21 15:00:00,10,8.3,25,0
2010-09-21,2010-09-21 16:00:00,16,8.3,25,0
2010-09-21,2010-09-21 17:00:00,19,8.3,25,0
2010-09-21,2010-09-21 18:00:00,30,8.3,25,0
2010-09-21,2010-09-21 19:00:00,48,8.3,25,0
2010-09-21,2010-09-21 20:00:00,23,8.3,25,0
2010-09-21,2010-09-21 21:00:00,17,8.3,25,0
2010-09-21,2010-09-21 22:00:00,16,8.3,25,0
2010-09-21,2010-09-21 23:00:00,6,8.3,25,0
2010-09-22,2010-09-22 00:00:00,4,16.1,32.8,0
2010-09-22,2010-09-22 01:00:00,0,16.1,32.8,0
2010-09-22,2010-09-22 02:00:00,1,16.1,32.8,0
2010-09-22,2010-09-22 03:00:00,1,16.1,32.8,0
2010-09-22,2010-09-22 04:00:00,3,16.1,32.8,0
2010-09-22,2010-09-22 05:00:00,0,16.1,32.8,0
2010-09-22,2010-09-22 06:00:00,5,16.1,32.8,0
2010-09-22,2010-09-22 07:00:00,6,16.1,32.8,0
2010-09-22,2010-09-22 08:00:00,25,16.1,32.8,0
2010-09-22,2010-09-22 09:00:00,29,16.1,32.8,0
2010-09-22,2010-09-22 10:00:00,17,16.1,32.8,0
2010-09-22,2010-09-22 11:00:00,18,16.1,32.8,0
2010-09-22,2010-09-22 12:00:00,17,16.1,32.8,0
2010-09-22,2010-09-22 13:00:00,19,16.1,32.8,0
2010-09-22,2010-09-22 14:00:00,21,16.1,32.8,0
2010-09-22,2010-09-22 15:00:00,23,16.1,32.8,0
2010-09-22,2010-09-22 16:00:00,21,16.1,32.8,0
2010-09-22,2010-09-22 17:00:00,30,16.1,32.8,0
2010-09-22,2010-09-22 18:00:00,28,16.1,32.8,0
2010-09-22,2010-09-22 19:00:00,30,16.1,32.8,0
2010-09-22,2010-09-22 20:00:00,22,16.1,32.8,0
2010-09-22,2010-09-22 21:00:00,27,16.1,32.8,0
2010-09-22,2010-09-22 22:00:00,16,16.1,32.8,0
2010-09-22,2010-09-22 23:00:00,12,16.1,32.8,0
2010-09-23,2010-09-23 00:00:00,6,17.8,31.7,0
2010-09-23,2010-09-23 01:00:00,3,17.8,31.7,0
2010-09-23,2010-09-23 02:00:00,1,17.8,31.7,0
2010-09-23,2010-09-23 03:00:00,1,17.8,31.7,0
2010-09-23,2010-09-23 04:00:00,1,17.8,31.7,0
2010-09-23,2010-09-23 05:00:00,0,17.8,31.7,0
2010-09-23,2010-09-23 06:00:00,1,17.8,31.7,0
2010-09-23,2010-09-23 07:00:00,5,17.8,31.7,0
2010-09-23,2010-09-23 08:00:00,21,17.8,31.7,0
2010-09-23,2010-09-23 09:00:00,28,17.8,31.7,0
2010-09-23,2010-09-23 10:00:00,8,17.8,31.7,0
2010-09-23,2010-09-23 11:00:00,11,17.8,31.7,0
2010-09-23,2010-09-23 12:00:00,19,17.8,31.7,0
2010-09-23,2010-09-23 13:00:00,18,17.8,31.7,0
2010-09-23,2010-09-23 14:00:00,10,17.8,31.7,0
2010-09-23,2010-09-23 15:00:00,22,17.8,31.7,0
2010-09-23,2010-09-23 16:00:00,17,17.8,31.7,0
2010-09-23,2010-09-23 17:00:00,23,17.8,31.7,0
2010-09-23,2010-09-23 18:00:00,37,17.8,31.7,0
2010-09-23,2010-09-23 19:00:00,37,17.8,31.7,0
2010-09-23,2010-09-23 20:00:00,29,17.8,31.7,0
2010-09-23,2010-09-23 21:00:00,24,17.8,31.7,0
2010-09-23,2010-09-23 22:00:00,29,17.8,31.7,0
2010-09-23,2010-09-23 23:00:00,16,17.8,31.7,0
2010-09-24,2010-09-24 00:00:00,15,21.1,35,0
2010-09-24,2010-09-24 01:00:00,1,21.1,35,0
2010-09-24,2010-09-24 02:00:00,5,21.1,35,0
2010-09-24,2010-09-24 03:00:00,0,21.1,35,0
2010-09-24,2010-09-24 04:00:00,0,21.1,35,0
2010-09-24,2010-09-24 05:00:00,0,21.1,35,0
2010-09-24,2010-09-24 06:00:00,0,21.1,35,0
2010-09-24,2010-09-24 07:00:00,4,21.1,35,0
2010-09-24,2010-09-24 08:00:00,10,21.1,35,0
2010-09-24,2010-09-24 09:00:00,20,21.1,35,0
2010-09-24,2010-09-24 10:00:00,15,21.1,35,0
2010-09-24,2010-09-24 11:00:00,16,21.1,35,0
2010-09-24,2010-09-24 12:00:00,21,21.1,35,0
2010-09-24,2010-09-24 13:00:00,15,21.1,35,0
2010-09-24,2010-09-24 14:00:00,26,21.1,35,0
2010-09-24,2010-09-24 15:00:00,16,21.1,35,0
2010-09-24,2010-09-24 16:00:00,21,21.1,35,0
2010-09-24,2010-09-24 17:00:00,25,21.1,35,0
2010-09-24,2010-09-24 18:00:00,41,21.1,35,0
2010-09-24,2010-09-24 19:00:00,30,21.1,35,0
2010-09-24,2010-09-24 20:00:00,33,21.1,35,0
2010-09-24,2010-09-24 21:00:00,16,21.1,35,0
2010-09-24,2010-09-24 22:00:00,22,21.1,35,0
2010-09-24,2010-09-24 23:00:00,20,21.1,35,0
2010-09-25,2010-09-25 00:00:00,4,21.7,32.8,0
2010-09-25,2010-09-25 01:00:00,7,21.7,32.8,0
2010-09-25,2010-09-25 02:00:00,3,21.7,32.8,0
2010-09-25,2010-09-25 03:00:00,6,21.7,32.8,0
2010-09-25,2010-09-25 04:00:00,2,21.7,32.8,0
2010-09-25,2010-09-25 05:00:00,0,21.7,32.8,0
2010-09-25,2010-09-25 06:00:00,0,21.7,32.8,0
2010-09-25,2010-09-25 07:00:00,3,21.7,32.8,0
2010-09-25,2010-09-25 08:00:00,10,21.7,32.8,0
2010-09-25,2010-09-25 09:00:00,18,21.7,32.8,0
2010-09-25,2010-09-25 10:00:00,29,21.7,32.8,0
2010-09-25,2010-09-25 11:00:00,41,21.7,32.8,0
2010-09-25,2010-09-25 12:00:00,53,21.7,32.8,0
2010-09-25,2010-09-25 13:00:00,59,21.7,32.8,0
2010-09-25,2010-09-25 14:00:00,67,21.7,32.8,0
2010-09-25,2010-09-25 15:00:00,44,21.7,32.8,0
2010-09-25,2010-09-25 16:00:00,33,21.7,32.8,0
2010-09-25,2010-09-25 17:00:00,13,21.7,32.8,0
2010-09-25,2010-09-25 18:00:00,13,21.7,32.8,0
2010-09-25,2010-09-25 19:00:00,44,21.7,32.8,0
2010-09-25,2010-09-25 20:00:00,28,21.7,32.8,0
2010-09-25,2010-09-25 21:00:00,29,21.7,32.8,0
2010-09-25,2010-09-25 22:00:00,17,21.7,32.8,0
2010-09-25,2010-09-25 23:00:00,15,21.7,32.8,0
2010-09-26,2010-09-26 00:00:00,13,15.6,22.8,3.8
2010-09-26,2010-09-26 01:00:00,19,15.6,22.8,3.8
2010-09-26,2010-09-26 02:00:00,10,15.6,22.8,3.8
2010-09-26,2010-09-26 03:00:00,6,15.6,22.8,3.8
2010-09-26,2010-09-26 04:00:00,0,15.6,22.8,3.8
2010-09-26,2010-09-26 05:00:00,0,15.6,22.8,3.8
2010-09-26,2010-09-26 06:00:00,1,15.6,22.8,3.8
2010-09-26,2010-09-26 07:00:00,6,15.6,22.8,3.8
2010-09-26,2010-09-26 08:00:00,3,15.6,22.8,3.8
2010-09-26,2010-09-26 09:00:00,8,15.6,22.8,3.8
2010-09-26,2010-09-26 10:00:00,12,15.6,22.8,3.8
2010-09-26,2010-09-26 11:00:00,20,15.6,22.8,3.8
2010-09-26,2010-09-26 12:00:00,26,15.6,22.8,3.8
2010-09-26,2010-09-26 13:00:00,38,15.6,22.8,3.8
2010-09-26,2010-09-26 14:00:00,45,15.6,22.8,3.8
2010-09-26,2010-09-26 15:00:00,63,15.6,22.8,3.8
2010-09-26,2010-09-26 16:00:00,47,15.6,22.8,3.8
2010-09-26,2010-09-26 17:00:00,46,15.6,22.8,3.8
2010-09-26,2010-09-26 18:00:00,57,15.6,22.8,3.8
2010-09-26,2010-09-26 19:00:00,42,15.6,22.8,3.8
2010-09-26,2010-09-26 20:00:00,30,15.6,22.8,3.8
2010-09-26,2010-09-26 21:00:00,20,15.6,22.8,3.8
