ts,y
2015-01-01 00:00:00,0.0048
2015-01-01 01:00:00,0.0072
2015-01-01 02:00:00,0.004
2015-01-01 03:00:00,0.0039
2015-01-01 04:00:00,0.0042
2015-01-01 05:00:00,0.004
2015-01-01 06:00:00,0.0044
2015-01-01 07:00:00,0.0042
2015-01-01 08:00:00,0.0086
2015-01-01 09:00:00,0.0223
2015-01-01 10:00:00,0.0327
2015-01-01 11:00:00,0.0409
2015-01-01 12:00:00,0.0451
2015-01-01 13:00:00,0.0462
2015-01-01 14:00:00,0.0498
2015-01-01 15:00:00,0.0437
2015-01-01 16:00:00,0.0437
2015-01-01 17:00:00,0.0407
2015-01-01 18:00:00,0.0377
2015-01-01 19:00:00,0.0295
2015-01-01 20:00:00,0.0259
2015-01-01 21:00:00,0.0136
2015-01-01 22:00:00,0.0082
2015-01-01 23:00:00,0.0039
2015-01-02 00:00:00,0.0039
2015-01-02 01:00:00,0.004
2015-01-02 02:00:00,0.0038
2015-01-02 03:00:00,0.0037
2015-01-02 04:00:00,0.0041
2015-01-02 05:00:00,0.0226
2015-01-02 06:00:00,0.0429
2015-01-02 07:00:00,0.0422
2015-01-02 08:00:00,0.0453
2015-01-02 09:00:00,0.0549
2015-01-02 10:00:00,0.0577
2015-01-02 11:00:00,0.0614
2015-01-02 12:00:00,0.0658
2015-01-02 13:00:00,0.063
2015-01-02 14:00:00,0.0652
2015-01-02 15:00:00,0.0649
2015-01-02 16:00:00,0.064
2015-01-02 17:00:00,0.0608
2015-01-02 18:00:00,0.0473
2015-01-02 19:00:00,0.0348
2015-01-02 20:00:00,0.0276
2015-01-02 21:00:00,0.0231
2015-01-02 22:00:00,0.0107
2015-01-02 23:00:00,0.0042
2015-01-03 00:00:00,0.0037
2015-01-03 01:00:00,0.004
2015-01-03 02:00:00,0.0037
2015-01-03 03:00:00,0.0037
2015-01-03 04:00:00,0.0037
2015-01-03 05:00:00,0.0037
2015-01-03 06:00:00,0.0037
2015-01-03 07:00:00,0.0037
2015-01-03 08:00:00,0.0037
2015-01-03 09:00:00,0.0037
2015-01-03 10:00:00,0.0037
2015-01-03 11:00:00,0.0037
2015-01-03 12:00:00,0.0037
2015-01-03 13:00:00,0.0037
2015-01-03 14:00:00,0.0037
2015-01-03 15:00:00,0.0037
2015-01-03 16:00:00,0.0037
2015-01-03 17:00:00,0.0037
2015-01-03 18:00:00,0.0037
2015-01-03 19:00:00,0.0037
2015-01-03 20:00:00,0.0037
2015-01-03 21:00:00,0.0037
2015-01-03 22:00:00,0.0037
2015-01-03 23:00:00,0.0037
2015-01-04 00:00:00,0.003
2015-01-04 01:00:00,0.0021
2015-01-04 02:00:00,0.0016
2015-01-04 03:00:00,0.001
2015-01-04 04:00:00,0.001
2015-01-04 05:00:00,0.0015
2015-01-04 06:00:00,0.0032
2015-01-04 07:00:00,0.0068
2015-01-04 08:00:00,0.0234
2015-01-04 09:00:00,0.0367
2015-01-04 10:00:00,0.0477
2015-01-04 11:00:00,0.0555
2015-01-04 12:00:00,0.0517
2015-01-04 13:00:00,0.0536
2015-01-04 14:00:00,0.055
2015-01-04 15:00:00,0.0525
2015-01-04 16:00:00,0.0527
2015-01-04 17:00:00,0.0505
2015-01-04 18:00:00,0.0395
2015-01-04 19:00:00,0.0313
2015-01-04 20:00:00,0.0266
2015-01-04 21:00:00,0.0198
2015-01-04 22:00:00,0.0071
2015-01-04 23:00:00,0.003
2015-01-05 00:00:00,0.0018
2015-01-05 01:00:00,0.0011
2015-01-05 02:00:00,0.0009
2015-01-05 03:00:00,0.0011
2015-01-05 04:00:00,0.0075
2015-01-05 05:00:00,0.0429
2015-01-05 06:00:00,0.077
2015-01-05 07:00:00,0.2499
2015-01-05 08:00:00,0.2248
2015-01-05 09:00:00,0.0683
2015-01-05 10:00:00,0.0552
2015-01-05 11:00:00,0.0576
2015-01-05 12:00:00,0.0571
2015-01-05 13:00:00,0.0545
